datetime,HomeTeamProb,AwayTeamProb,AwayTeam,HomeTeam,HomeTeamHasWon,ConsensusHomeMoneyLine,ConsensusAwayMoneyLine
2019-01-24,0.6191972186022294,0.3808027813977706,MIN,LAL,False,-128.0,118.0
2019-01-25,0.5600325558978516,0.4399674441021484,WAS,ORL,False,-155.0,145.0
2019-01-25,0.3604147154446713,0.6395852845553287,MIA,CLE,False,345.0,-385.0
2019-01-25,0.8559266117706558,0.14407338822934426,NYK,BRK,True,-400.0,355.0
2019-01-25,0.3316182649493793,0.6683817350506207,LAC,CHI,False,175.0,-190.0
2019-01-25,0.5661498246861127,0.4338501753138873,TOR,HOU,True,140.0,-150.0
2019-01-25,0.5425699243756923,0.4574300756243077,SAC,MEM,False,-127.0,117.0
2019-01-25,0.8421676336401174,0.15783236635988265,CHO,MIL,True,-710.0,575.0
2019-01-25,0.6760344376762318,0.32396556232376816,DET,DAL,True,-190.0,175.0
2019-01-25,0.7199294624092131,0.28007053759078704,MIN,UTA,True,-580.0,440.0
2019-01-25,0.8996884848304186,0.10031151516958137,PHO,DEN,True,-1450.0,1150.0
2019-01-26,0.6106978385809991,0.3893021614190009,SAS,NOP,False,163.0,-173.0
2019-01-26,0.31526495143270816,0.6847350485672918,IND,MEM,True,175.0,-190.0
2019-01-26,0.5253475564521646,0.4746524435478354,GSW,BOS,False,150.0,-160.0
2019-01-26,0.5788046618765237,0.4211953381234763,PHI,DEN,True,-570.0,480.0
2019-01-26,0.8464270334698276,0.15357296653017238,ATL,POR,True,-380.0,340.0
2019-01-27,0.6383656061169988,0.3616343938830012,CLE,CHI,False,-178.0,167.0
2019-01-27,0.7012801058898865,0.29871989411011346,SAC,LAC,True,-155.0,145.0
2019-01-27,0.5150768386431752,0.4849231613568248,MIL,OKC,True,103.0,-113.0
2019-01-27,0.7395380012491954,0.26046199875080456,WAS,SAS,True,-173.0,163.0
2019-01-27,0.4357206895942051,0.5642793104057948,TOR,DAL,False,167.0,-178.0
2019-01-27,0.8246507554699479,0.17534924453005207,ORL,HOU,True,-380.0,340.0
2019-01-27,0.5426775056541046,0.4573224943458954,UTA,MIN,False,190.0,-210.0
2019-01-27,0.3774443687981378,0.6225556312018622,MIA,NYK,False,175.0,-190.0
2019-01-27,0.8483441265334812,0.15165587346651874,PHO,LAL,True,-310.0,280.0
2019-01-28,0.514246796242129,0.485753203757871,GSW,IND,False,280.0,-310.0
2019-01-28,0.8385691244216287,0.16143087557837132,NYK,CHO,True,-800.0,635.0
